"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2005",25.33,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2006",24.74,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2007",24.39,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2008",23.53,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2009",24.62,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2010",24.19,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2011",23.28,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2012",22.74,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2013",22.53,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2014",23,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2015",22.97,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2016",23.23,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2017",23.21,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2018",23.74,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2019",23.26,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2013",22.29,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2014",23.52,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2015",23.37,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2016",22.78,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2017",21.82,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2018",21.49,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2019",21.73,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2013",19.22,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2014",20.71,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2015",20.83,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2016",20.37,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2017",19.55,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2018",19.23,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2019",19.37,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2013",3.07,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2014",2.81,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2015",2.55,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2016",2.4,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2017",2.27,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2018",2.26,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2019",2.36,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2002",20.52,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2003",21.49,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2004",21.3,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2005",20.61,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2006",19.44,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2007",19.58,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2008",19.51,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2009",19.08,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2010",18.81,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2011",18.39,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2012",17.92,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2013",17.47,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2014",17.4,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2015",17.3,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2016",17.56,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2017",17.85,
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","1997",22.1,"E"
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","1999",21.25,"E"
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","2002",19.13,"E"
